,weight_2022,citax_2022,calc_grossinc_2022,weight_ref_2022,citax_ref_2022,calc_grossinc_ref_2022,weight_ref_2023,citax_ref_2023,calc_grossinc_ref_2023,weight_ref_2024,citax_ref_2024,calc_grossinc_ref_2024,weight_ref_2025,citax_ref_2025,calc_grossinc_ref_2025,weight_ref_2026,citax_ref_2026,calc_grossinc_ref_2026,weight_ref_2027,citax_ref_2027,calc_grossinc_ref_2027,weight_ref_2028,citax_ref_2028,calc_grossinc_ref_2028,ETR,ETR_ref
44,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,nan,nan
45,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
46,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
47,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
48,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,nan,nan
49,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
50,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
51,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,nan,nan
52,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
53,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
54,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
55,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,nan,nan
56,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
57,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
58,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
59,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,nan,nan
60,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
61,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
62,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,nan,nan
63,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
64,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
65,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
66,376.0000,92.0000,"1,316.0000",376.0000,92.0000,"1,316.0000",376.0000,99.0000,"1,381.0000",376.0000,106.0000,"1,450.0000",376.0000,113.0000,"1,523.0000",376.0000,121.0000,"1,599.0000",376.0000,129.0000,"1,679.0000",376.0000,137.0000,"1,763.0000",0.0699,0.0699
67,375.0000,"6,782.0000","91,968.0000",375.0000,"6,782.0000","91,968.0000",375.0000,"7,241.0000","96,566.0000",375.0000,"7,724.0000","101,395.0000",375.0000,"8,230.0000","106,465.0000",375.0000,"8,762.0000","111,788.0000",375.0000,"9,321.0000","117,377.0000",375.0000,"9,907.0000","123,246.0000",0.0737,0.0737
68,375.0000,"18,592.0000","239,167.0000",375.0000,"18,592.0000","239,167.0000",375.0000,"19,788.0000","251,126.0000",375.0000,"21,043.0000","263,682.0000",375.0000,"22,362.0000","276,866.0000",375.0000,"23,746.0000","290,709.0000",375.0000,"25,200.0000","305,245.0000",375.0000,"26,726.0000","320,507.0000",0.0777,0.0777
69,375.0000,"31,020.0000","388,361.0000",375.0000,"31,020.0000","388,361.0000",375.0000,"32,962.0000","407,779.0000",375.0000,"35,001.0000","428,168.0000",375.0000,"37,142.0000","449,576.0000",375.0000,"39,390.0000","472,055.0000",375.0000,"41,750.0000","495,658.0000",375.0000,"44,228.0000","520,441.0000",0.0799,0.0799
70,376.0000,"43,207.0000","537,144.0000",376.0000,"43,207.0000","537,144.0000",376.0000,"45,893.0000","564,001.0000",376.0000,"48,713.0000","592,201.0000",376.0000,"51,674.0000","621,811.0000",376.0000,"54,783.0000","652,902.0000",376.0000,"58,047.0000","685,547.0000",376.0000,"61,475.0000","719,825.0000",0.0804,0.0804
71,375.0000,"58,680.0000","694,835.0000",375.0000,"58,680.0000","694,835.0000",375.0000,"62,154.0000","729,577.0000",375.0000,"65,802.0000","766,056.0000",375.0000,"69,633.0000","804,359.0000",375.0000,"73,654.0000","844,577.0000",375.0000,"77,877.0000","886,805.0000",375.0000,"82,311.0000","931,146.0000",0.0845,0.0845
72,375.0000,"72,908.0000","869,241.0000",375.0000,"72,908.0000","869,241.0000",375.0000,"77,254.0000","912,703.0000",375.0000,"81,818.0000","958,338.0000",375.0000,"86,609.0000","1,006,255.0000",375.0000,"91,641.0000","1,056,568.0000",375.0000,"96,924.0000","1,109,397.0000",375.0000,"102,471.0000","1,164,866.0000",0.0839,0.0839
73,375.0000,"92,593.0000","1,076,402.0000",375.0000,"92,593.0000","1,076,402.0000",375.0000,"97,975.0000","1,130,222.0000",375.0000,"103,626.0000","1,186,733.0000",375.0000,"109,560.0000","1,246,070.0000",375.0000,"115,790.0000","1,308,373.0000",375.0000,"122,332.0000","1,373,792.0000",375.0000,"129,201.0000","1,442,481.0000",0.0860,0.0860
74,376.0000,"111,722.0000","1,310,291.0000",376.0000,"111,722.0000","1,310,291.0000",376.0000,"118,268.0000","1,375,806.0000",376.0000,"125,141.0000","1,444,596.0000",376.0000,"132,358.0000","1,516,826.0000",376.0000,"139,935.0000","1,592,667.0000",376.0000,"147,892.0000","1,672,300.0000",376.0000,"156,246.0000","1,755,915.0000",0.0853,0.0853
75,375.0000,"132,458.0000","1,575,157.0000",375.0000,"132,458.0000","1,575,157.0000",375.0000,"140,334.0000","1,653,915.0000",375.0000,"148,604.0000","1,736,610.0000",375.0000,"157,287.0000","1,823,441.0000",375.0000,"166,404.0000","1,914,613.0000",375.0000,"175,977.0000","2,010,343.0000",375.0000,"186,029.0000","2,110,861.0000",0.0841,0.0841
76,375.0000,"165,340.0000","1,867,263.0000",375.0000,"165,340.0000","1,867,263.0000",375.0000,"174,675.0000","1,960,626.0000",375.0000,"184,477.0000","2,058,657.0000",375.0000,"194,768.0000","2,161,590.0000",375.0000,"205,575.0000","2,269,670.0000",375.0000,"216,921.0000","2,383,153.0000",375.0000,"228,835.0000","2,502,311.0000",0.0885,0.0885
77,376.0000,"196,346.0000","2,206,170.0000",376.0000,"196,346.0000","2,206,170.0000",376.0000,"207,368.0000","2,316,479.0000",376.0000,"218,941.0000","2,432,303.0000",376.0000,"231,093.0000","2,553,918.0000",376.0000,"243,852.0000","2,681,614.0000",376.0000,"257,250.0000","2,815,695.0000",376.0000,"271,317.0000","2,956,479.0000",0.0890,0.0890
78,375.0000,"232,019.0000","2,583,446.0000",375.0000,"232,019.0000","2,583,446.0000",375.0000,"244,935.0000","2,712,618.0000",375.0000,"258,496.0000","2,848,249.0000",375.0000,"272,736.0000","2,990,662.0000",375.0000,"287,688.0000","3,140,195.0000",375.0000,"303,387.0000","3,297,205.0000",375.0000,"319,871.0000","3,462,065.0000",0.0898,0.0898
79,375.0000,"268,066.0000","3,003,084.0000",375.0000,"268,066.0000","3,003,084.0000",375.0000,"283,082.0000","3,153,239.0000",375.0000,"298,848.0000","3,310,901.0000",375.0000,"315,402.0000","3,476,446.0000",375.0000,"332,785.0000","3,650,268.0000",375.0000,"351,036.0000","3,832,781.0000",375.0000,"370,200.0000","4,024,420.0000",0.0893,0.0893
80,375.0000,"312,746.0000","3,468,994.0000",375.0000,"312,746.0000","3,468,994.0000",375.0000,"330,077.0000","3,642,444.0000",375.0000,"348,275.0000","3,824,566.0000",375.0000,"367,383.0000","4,015,795.0000",375.0000,"387,445.0000","4,216,584.0000",375.0000,"408,511.0000","4,427,414.0000",375.0000,"430,631.0000","4,648,784.0000",0.0902,0.0902
81,376.0000,"361,820.0000","4,044,857.0000",376.0000,"361,820.0000","4,044,857.0000",376.0000,"382,009.0000","4,247,100.0000",376.0000,"403,208.0000","4,459,455.0000",376.0000,"425,467.0000","4,682,428.0000",376.0000,"448,839.0000","4,916,549.0000",376.0000,"473,380.0000","5,162,376.0000",376.0000,"499,147.0000","5,420,495.0000",0.0895,0.0895
82,375.0000,"417,602.0000","4,667,004.0000",375.0000,"417,602.0000","4,667,004.0000",375.0000,"440,935.0000","4,900,354.0000",375.0000,"465,435.0000","5,145,371.0000",375.0000,"491,160.0000","5,402,640.0000",375.0000,"518,171.0000","5,672,772.0000",375.0000,"546,533.0000","5,956,411.0000",375.0000,"576,313.0000","6,254,231.0000",0.0895,0.0895
83,375.0000,"489,235.0000","5,430,192.0000",375.0000,"489,235.0000","5,430,192.0000",375.0000,"516,304.0000","5,701,702.0000",375.0000,"544,727.0000","5,986,787.0000",375.0000,"574,570.0000","6,286,126.0000",375.0000,"605,906.0000","6,600,433.0000",375.0000,"638,809.0000","6,930,454.0000",375.0000,"673,357.0000","7,276,977.0000",0.0901,0.0901
84,375.0000,"591,927.0000","6,308,237.0000",375.0000,"591,927.0000","6,308,237.0000",375.0000,"623,320.0000","6,623,648.0000",375.0000,"656,283.0000","6,954,831.0000",375.0000,"690,893.0000","7,302,572.0000",375.0000,"727,235.0000","7,667,701.0000",375.0000,"765,393.0000","8,051,086.0000",375.0000,"805,459.0000","8,453,640.0000",0.0938,0.0938
85,376.0000,"666,659.0000","7,366,595.0000",376.0000,"666,659.0000","7,366,595.0000",376.0000,"703,411.0000","7,734,925.0000",376.0000,"742,001.0000","8,121,671.0000",376.0000,"782,520.0000","8,527,755.0000",376.0000,"825,065.0000","8,954,143.0000",376.0000,"869,737.0000","9,401,850.0000",376.0000,"916,643.0000","9,871,942.0000",0.0905,0.0905
86,375.0000,"781,256.0000","8,641,731.0000",375.0000,"781,256.0000","8,641,731.0000",375.0000,"824,296.0000","9,073,818.0000",375.0000,"869,487.0000","9,527,509.0000",375.0000,"916,938.0000","10,003,884.0000",375.0000,"966,762.0000","10,504,078.0000",375.0000,"1,019,077.0000","11,029,282.0000",375.0000,"1,074,008.0000","11,580,746.0000",0.0904,0.0904
87,375.0000,"928,727.0000","10,101,983.0000",375.0000,"928,727.0000","10,101,983.0000",375.0000,"979,083.0000","10,607,082.0000",375.0000,"1,031,956.0000","11,137,436.0000",375.0000,"1,087,473.0000","11,694,308.0000",375.0000,"1,145,765.0000","12,279,024.0000",375.0000,"1,206,973.0000","12,892,975.0000",375.0000,"1,271,240.0000","13,537,624.0000",0.0919,0.0919
88,376.0000,"1,106,131.0000","11,917,679.0000",376.0000,"1,106,131.0000","11,917,679.0000",376.0000,"1,165,488.0000","12,513,563.0000",376.0000,"1,227,814.0000","13,139,241.0000",376.0000,"1,293,255.0000","13,796,203.0000",376.0000,"1,361,968.0000","14,486,013.0000",376.0000,"1,434,117.0000","15,210,314.0000",376.0000,"1,509,874.0000","15,970,830.0000",0.0928,0.0928
